Record Type,Internal Name,Display Name,Category,Base Class,Spawn Status,NPC Slots,Runtime Slot Overrides,Life Max,Damage,Defense,NPC.boss,Friendly,Town NPC,Rule Method,Rule Weight,Progression,Biome,Depth,Time,Random Gate,Water,Conditions,Source File,Source Line
NPC Spawn Rule,Dunlending,Dunlending,Enemies,ModNPC,Natural spawn rules,1,—,400,70,40,No,No,No,SpawnChance,(0) / (0),SuperHardmode,General / Custom,Any / condition-defined depth,Day and night / unspecified,—,Unspecified,(!(spawnInfo.Invasion || Sky(spawnInfo.Player) || spawnInfo.Player.ZoneSnow)) && (!(spawnInfo.Player.townNPCs > 1f)) && (!(spawnInfo.Player.ZoneOverworldHeight)) && (oUnderSurfaceByTile(spawnInfo.Player) || oUndergroundByTile(spawnInfo.Player) || oCavernByTile(spawnInfo.Player)) && (!(Main.dayTime && !spawnInfo.Player.ZoneCorrupt && !spawnInfo.Player.ZoneCrimson)) && (!(!Main.dayTime && !spawnInfo.Player.ZoneCorrupt && !spawnInfo.Player.ZoneCrimson)) && (!(Main.hardMode)) && (tsorcRevampWorld.SuperHardMode),NPCs/Enemies/Dunlending.cs,115
NPC Spawn Rule,Dunlending,Dunlending,Enemies,ModNPC,Natural spawn rules,1,—,400,70,40,No,No,No,SpawnChance,(0) / (0),SuperHardmode,General / Custom,Any / condition-defined depth,Day and night / unspecified,—,Unspecified,(!(spawnInfo.Invasion || Sky(spawnInfo.Player) || spawnInfo.Player.ZoneSnow)) && (!(spawnInfo.Player.townNPCs > 1f)) && (!(spawnInfo.Player.ZoneOverworldHeight)) && (!(oUnderSurfaceByTile(spawnInfo.Player) || oUndergroundByTile(spawnInfo.Player) || oCavernByTile(spawnInfo.Player))) && (!(Main.hardMode)) && (tsorcRevampWorld.SuperHardMode),NPCs/Enemies/Dunlending.cs,115
NPC Spawn Rule,Dunlending,Dunlending,Enemies,ModNPC,Natural spawn rules,1,—,400,70,40,No,No,No,SpawnChance,0.1f,Pre-Hardmode,Neutral Overworld (Forest),Surface,Day and night / unspecified,—,Unspecified,(!(spawnInfo.Invasion || Sky(spawnInfo.Player) || spawnInfo.Player.ZoneSnow)) && (!(spawnInfo.Player.townNPCs > 1f)) && (spawnInfo.Player.ZoneOverworldHeight) && (Main.dayTime) && (oUnderSurfaceByTile(spawnInfo.Player) || oUndergroundByTile(spawnInfo.Player) || oCavernByTile(spawnInfo.Player)) && (Main.dayTime && !spawnInfo.Player.ZoneCorrupt && !spawnInfo.Player.ZoneCrimson) && (!Main.dayTime && !spawnInfo.Player.ZoneCorrupt && !spawnInfo.Player.ZoneCrimson) && (!(Main.hardMode)) && (!(tsorcRevampWorld.SuperHardMode)),NPCs/Enemies/Dunlending.cs,117
NPC Spawn Rule,Dunlending,Dunlending,Enemies,ModNPC,Natural spawn rules,1,—,400,70,40,No,No,No,SpawnChance,0.067f,Pre-Hardmode,Neutral Overworld (Forest),Surface,Day,—,Unspecified,(!(spawnInfo.Invasion || Sky(spawnInfo.Player) || spawnInfo.Player.ZoneSnow)) && (!(spawnInfo.Player.townNPCs > 1f)) && (spawnInfo.Player.ZoneOverworldHeight) && (Main.dayTime) && (oUnderSurfaceByTile(spawnInfo.Player) || oUndergroundByTile(spawnInfo.Player) || oCavernByTile(spawnInfo.Player)) && (Main.dayTime && !spawnInfo.Player.ZoneCorrupt && !spawnInfo.Player.ZoneCrimson) && (!(!Main.dayTime && !spawnInfo.Player.ZoneCorrupt && !spawnInfo.Player.ZoneCrimson)) && (!(Main.hardMode)) && (!(tsorcRevampWorld.SuperHardMode)),NPCs/Enemies/Dunlending.cs,117
NPC Spawn Rule,Dunlending,Dunlending,Enemies,ModNPC,Natural spawn rules,1,—,400,70,40,No,No,No,SpawnChance,0.1f,Pre-Hardmode,Neutral Overworld (Forest),Surface,Day and night / unspecified,—,Unspecified,(!(spawnInfo.Invasion || Sky(spawnInfo.Player) || spawnInfo.Player.ZoneSnow)) && (!(spawnInfo.Player.townNPCs > 1f)) && (spawnInfo.Player.ZoneOverworldHeight) && (Main.dayTime) && (oUnderSurfaceByTile(spawnInfo.Player) || oUndergroundByTile(spawnInfo.Player) || oCavernByTile(spawnInfo.Player)) && (!(Main.dayTime && !spawnInfo.Player.ZoneCorrupt && !spawnInfo.Player.ZoneCrimson)) && (!Main.dayTime && !spawnInfo.Player.ZoneCorrupt && !spawnInfo.Player.ZoneCrimson) && (!(Main.hardMode)) && (!(tsorcRevampWorld.SuperHardMode)),NPCs/Enemies/Dunlending.cs,117
NPC Spawn Rule,Dunlending,Dunlending,Enemies,ModNPC,Natural spawn rules,1,—,400,70,40,No,No,No,SpawnChance,0.067f,Pre-Hardmode,Neutral Overworld (Forest),Surface,Day,—,Unspecified,(!(spawnInfo.Invasion || Sky(spawnInfo.Player) || spawnInfo.Player.ZoneSnow)) && (!(spawnInfo.Player.townNPCs > 1f)) && (spawnInfo.Player.ZoneOverworldHeight) && (Main.dayTime) && (oUnderSurfaceByTile(spawnInfo.Player) || oUndergroundByTile(spawnInfo.Player) || oCavernByTile(spawnInfo.Player)) && (!(Main.dayTime && !spawnInfo.Player.ZoneCorrupt && !spawnInfo.Player.ZoneCrimson)) && (!(!Main.dayTime && !spawnInfo.Player.ZoneCorrupt && !spawnInfo.Player.ZoneCrimson)) && (!(Main.hardMode)) && (!(tsorcRevampWorld.SuperHardMode)),NPCs/Enemies/Dunlending.cs,117
NPC Spawn Rule,Dunlending,Dunlending,Enemies,ModNPC,Natural spawn rules,1,—,400,70,40,No,No,No,SpawnChance,0.067f,Pre-Hardmode,Neutral Overworld (Forest),Surface,Day,—,Unspecified,(!(spawnInfo.Invasion || Sky(spawnInfo.Player) || spawnInfo.Player.ZoneSnow)) && (!(spawnInfo.Player.townNPCs > 1f)) && (spawnInfo.Player.ZoneOverworldHeight) && (Main.dayTime) && (!(oUnderSurfaceByTile(spawnInfo.Player) || oUndergroundByTile(spawnInfo.Player) || oCavernByTile(spawnInfo.Player))) && (!(Main.hardMode)) && (!(tsorcRevampWorld.SuperHardMode)),NPCs/Enemies/Dunlending.cs,117
NPC Spawn Rule,Dunlending,Dunlending,Enemies,ModNPC,Natural spawn rules,1,—,400,70,40,No,No,No,SpawnChance,0.1f,Pre-Hardmode,Neutral Overworld (Forest),Surface,Day and night / unspecified,—,Unspecified,(!(spawnInfo.Invasion || Sky(spawnInfo.Player) || spawnInfo.Player.ZoneSnow)) && (!(spawnInfo.Player.townNPCs > 1f)) && (spawnInfo.Player.ZoneOverworldHeight) && (!(Main.dayTime)) && (oUnderSurfaceByTile(spawnInfo.Player) || oUndergroundByTile(spawnInfo.Player) || oCavernByTile(spawnInfo.Player)) && (Main.dayTime && !spawnInfo.Player.ZoneCorrupt && !spawnInfo.Player.ZoneCrimson) && (!Main.dayTime && !spawnInfo.Player.ZoneCorrupt && !spawnInfo.Player.ZoneCrimson) && (!(Main.hardMode)) && (!(tsorcRevampWorld.SuperHardMode)),NPCs/Enemies/Dunlending.cs,117
NPC Spawn Rule,Dunlending,Dunlending,Enemies,ModNPC,Natural spawn rules,1,—,400,70,40,No,No,No,SpawnChance,0.067f,Pre-Hardmode,Neutral Overworld (Forest),Surface,Day and night / unspecified,—,Unspecified,(!(spawnInfo.Invasion || Sky(spawnInfo.Player) || spawnInfo.Player.ZoneSnow)) && (!(spawnInfo.Player.townNPCs > 1f)) && (spawnInfo.Player.ZoneOverworldHeight) && (!(Main.dayTime)) && (oUnderSurfaceByTile(spawnInfo.Player) || oUndergroundByTile(spawnInfo.Player) || oCavernByTile(spawnInfo.Player)) && (Main.dayTime && !spawnInfo.Player.ZoneCorrupt && !spawnInfo.Player.ZoneCrimson) && (!(!Main.dayTime && !spawnInfo.Player.ZoneCorrupt && !spawnInfo.Player.ZoneCrimson)) && (!(Main.hardMode)) && (!(tsorcRevampWorld.SuperHardMode)),NPCs/Enemies/Dunlending.cs,117
NPC Spawn Rule,Dunlending,Dunlending,Enemies,ModNPC,Natural spawn rules,1,—,400,70,40,No,No,No,SpawnChance,0.1f,Pre-Hardmode,Neutral Overworld (Forest),Surface,Night,—,Unspecified,(!(spawnInfo.Invasion || Sky(spawnInfo.Player) || spawnInfo.Player.ZoneSnow)) && (!(spawnInfo.Player.townNPCs > 1f)) && (spawnInfo.Player.ZoneOverworldHeight) && (!(Main.dayTime)) && (oUnderSurfaceByTile(spawnInfo.Player) || oUndergroundByTile(spawnInfo.Player) || oCavernByTile(spawnInfo.Player)) && (!(Main.dayTime && !spawnInfo.Player.ZoneCorrupt && !spawnInfo.Player.ZoneCrimson)) && (!Main.dayTime && !spawnInfo.Player.ZoneCorrupt && !spawnInfo.Player.ZoneCrimson) && (!(Main.hardMode)) && (!(tsorcRevampWorld.SuperHardMode)),NPCs/Enemies/Dunlending.cs,117
NPC Spawn Rule,Dunlending,Dunlending,Enemies,ModNPC,Natural spawn rules,1,—,400,70,40,No,No,No,SpawnChance,0.125f,Pre-Hardmode,Neutral Overworld (Forest),Surface,Night,—,Unspecified,(!(spawnInfo.Invasion || Sky(spawnInfo.Player) || spawnInfo.Player.ZoneSnow)) && (!(spawnInfo.Player.townNPCs > 1f)) && (spawnInfo.Player.ZoneOverworldHeight) && (!(Main.dayTime)) && (oUnderSurfaceByTile(spawnInfo.Player) || oUndergroundByTile(spawnInfo.Player) || oCavernByTile(spawnInfo.Player)) && (!(Main.dayTime && !spawnInfo.Player.ZoneCorrupt && !spawnInfo.Player.ZoneCrimson)) && (!(!Main.dayTime && !spawnInfo.Player.ZoneCorrupt && !spawnInfo.Player.ZoneCrimson)) && (!(Main.hardMode)) && (!(tsorcRevampWorld.SuperHardMode)),NPCs/Enemies/Dunlending.cs,117
NPC Spawn Rule,Dunlending,Dunlending,Enemies,ModNPC,Natural spawn rules,1,—,400,70,40,No,No,No,SpawnChance,0.125f,Pre-Hardmode,Neutral Overworld (Forest),Surface,Night,—,Unspecified,(!(spawnInfo.Invasion || Sky(spawnInfo.Player) || spawnInfo.Player.ZoneSnow)) && (!(spawnInfo.Player.townNPCs > 1f)) && (spawnInfo.Player.ZoneOverworldHeight) && (!(Main.dayTime)) && (!(oUnderSurfaceByTile(spawnInfo.Player) || oUndergroundByTile(spawnInfo.Player) || oCavernByTile(spawnInfo.Player))) && (!(Main.hardMode)) && (!(tsorcRevampWorld.SuperHardMode)),NPCs/Enemies/Dunlending.cs,117
NPC Spawn Rule,Dunlending,Dunlending,Enemies,ModNPC,Natural spawn rules,1,—,400,70,40,No,No,No,SpawnChance,0.1f,Pre-Hardmode,General / Custom,Any / condition-defined depth,Day and night / unspecified,—,Unspecified,(!(spawnInfo.Invasion || Sky(spawnInfo.Player) || spawnInfo.Player.ZoneSnow)) && (!(spawnInfo.Player.townNPCs > 1f)) && (!(spawnInfo.Player.ZoneOverworldHeight)) && (oUnderSurfaceByTile(spawnInfo.Player) || oUndergroundByTile(spawnInfo.Player) || oCavernByTile(spawnInfo.Player)) && (Main.dayTime && !spawnInfo.Player.ZoneCorrupt && !spawnInfo.Player.ZoneCrimson) && (!Main.dayTime && !spawnInfo.Player.ZoneCorrupt && !spawnInfo.Player.ZoneCrimson) && (!(Main.hardMode)) && (!(tsorcRevampWorld.SuperHardMode)),NPCs/Enemies/Dunlending.cs,117
NPC Spawn Rule,Dunlending,Dunlending,Enemies,ModNPC,Natural spawn rules,1,—,400,70,40,No,No,No,SpawnChance,0.067f,Pre-Hardmode,General / Custom,Any / condition-defined depth,Day,—,Unspecified,(!(spawnInfo.Invasion || Sky(spawnInfo.Player) || spawnInfo.Player.ZoneSnow)) && (!(spawnInfo.Player.townNPCs > 1f)) && (!(spawnInfo.Player.ZoneOverworldHeight)) && (oUnderSurfaceByTile(spawnInfo.Player) || oUndergroundByTile(spawnInfo.Player) || oCavernByTile(spawnInfo.Player)) && (Main.dayTime && !spawnInfo.Player.ZoneCorrupt && !spawnInfo.Player.ZoneCrimson) && (!(!Main.dayTime && !spawnInfo.Player.ZoneCorrupt && !spawnInfo.Player.ZoneCrimson)) && (!(Main.hardMode)) && (!(tsorcRevampWorld.SuperHardMode)),NPCs/Enemies/Dunlending.cs,117
NPC Spawn Rule,Dunlending,Dunlending,Enemies,ModNPC,Natural spawn rules,1,—,400,70,40,No,No,No,SpawnChance,0.1f,Pre-Hardmode,General / Custom,Any / condition-defined depth,Night,—,Unspecified,(!(spawnInfo.Invasion || Sky(spawnInfo.Player) || spawnInfo.Player.ZoneSnow)) && (!(spawnInfo.Player.townNPCs > 1f)) && (!(spawnInfo.Player.ZoneOverworldHeight)) && (oUnderSurfaceByTile(spawnInfo.Player) || oUndergroundByTile(spawnInfo.Player) || oCavernByTile(spawnInfo.Player)) && (!(Main.dayTime && !spawnInfo.Player.ZoneCorrupt && !spawnInfo.Player.ZoneCrimson)) && (!Main.dayTime && !spawnInfo.Player.ZoneCorrupt && !spawnInfo.Player.ZoneCrimson) && (!(Main.hardMode)) && (!(tsorcRevampWorld.SuperHardMode)),NPCs/Enemies/Dunlending.cs,117
NPC Spawn Rule,Dunlending,Dunlending,Enemies,ModNPC,Natural spawn rules,1,—,400,70,40,No,No,No,SpawnChance,0,Pre-Hardmode,General / Custom,Any / condition-defined depth,Day and night / unspecified,—,Unspecified,(!(spawnInfo.Invasion || Sky(spawnInfo.Player) || spawnInfo.Player.ZoneSnow)) && (!(spawnInfo.Player.townNPCs > 1f)) && (!(spawnInfo.Player.ZoneOverworldHeight)) && (oUnderSurfaceByTile(spawnInfo.Player) || oUndergroundByTile(spawnInfo.Player) || oCavernByTile(spawnInfo.Player)) && (!(Main.dayTime && !spawnInfo.Player.ZoneCorrupt && !spawnInfo.Player.ZoneCrimson)) && (!(!Main.dayTime && !spawnInfo.Player.ZoneCorrupt && !spawnInfo.Player.ZoneCrimson)) && (!(Main.hardMode)) && (!(tsorcRevampWorld.SuperHardMode)),NPCs/Enemies/Dunlending.cs,117
NPC Spawn Rule,Dunlending,Dunlending,Enemies,ModNPC,Natural spawn rules,1,—,400,70,40,No,No,No,SpawnChance,0,Pre-Hardmode,General / Custom,Any / condition-defined depth,Day and night / unspecified,—,Unspecified,(!(spawnInfo.Invasion || Sky(spawnInfo.Player) || spawnInfo.Player.ZoneSnow)) && (!(spawnInfo.Player.townNPCs > 1f)) && (!(spawnInfo.Player.ZoneOverworldHeight)) && (!(oUnderSurfaceByTile(spawnInfo.Player) || oUndergroundByTile(spawnInfo.Player) || oCavernByTile(spawnInfo.Player))) && (!(Main.hardMode)) && (!(tsorcRevampWorld.SuperHardMode)),NPCs/Enemies/Dunlending.cs,117
NPC Spawn Rule,DworcAbysswalker,Dworc Abysswalker,Enemies,ModNPC,Natural spawn rules,5,—,3500,0,72,No,No,No,SpawnChance,(((0.1f) * (1.3f)) * (1.5f)) * (2),SuperHardmode,Jungle + Meteor,Underground or Caverns,Day and night / unspecified,—,Unspecified,((spawnInfo.Player.ZoneMeteor || spawnInfo.Player.ZoneJungle) && tsorcRevampWorld.SuperHardMode && !spawnInfo.Player.ZoneDungeon && !(spawnInfo.Player.ZoneCorrupt || spawnInfo.Player.ZoneCrimson)) && (spawnInfo.Player.ZoneDirtLayerHeight) && (spawnInfo.Player.ZoneRockLayerHeight) && (Main.bloodMoon),NPCs/Enemies/Dworc/DworcAbysswalker.cs,113
NPC Spawn Rule,DworcAbysswalker,Dworc Abysswalker,Enemies,ModNPC,Natural spawn rules,5,—,3500,0,72,No,No,No,SpawnChance,((0.1f) * (1.3f)) * (1.5f),SuperHardmode,Jungle + Meteor,Underground or Caverns,Day and night / unspecified,—,Unspecified,((spawnInfo.Player.ZoneMeteor || spawnInfo.Player.ZoneJungle) && tsorcRevampWorld.SuperHardMode && !spawnInfo.Player.ZoneDungeon && !(spawnInfo.Player.ZoneCorrupt || spawnInfo.Player.ZoneCrimson)) && (spawnInfo.Player.ZoneDirtLayerHeight) && (spawnInfo.Player.ZoneRockLayerHeight) && (!(Main.bloodMoon)),NPCs/Enemies/Dworc/DworcAbysswalker.cs,113
NPC Spawn Rule,DworcAbysswalker,Dworc Abysswalker,Enemies,ModNPC,Natural spawn rules,5,—,3500,0,72,No,No,No,SpawnChance,((0.1f) * (1.3f)) * (2),SuperHardmode,Jungle + Meteor,Underground,Day and night / unspecified,—,Unspecified,((spawnInfo.Player.ZoneMeteor || spawnInfo.Player.ZoneJungle) && tsorcRevampWorld.SuperHardMode && !spawnInfo.Player.ZoneDungeon && !(spawnInfo.Player.ZoneCorrupt || spawnInfo.Player.ZoneCrimson)) && (spawnInfo.Player.ZoneDirtLayerHeight) && (!(spawnInfo.Player.ZoneRockLayerHeight)) && (Main.bloodMoon),NPCs/Enemies/Dworc/DworcAbysswalker.cs,113
NPC Spawn Rule,DworcAbysswalker,Dworc Abysswalker,Enemies,ModNPC,Natural spawn rules,5,—,3500,0,72,No,No,No,SpawnChance,(0.1f) * (1.3f),SuperHardmode,Jungle + Meteor,Underground,Day and night / unspecified,—,Unspecified,((spawnInfo.Player.ZoneMeteor || spawnInfo.Player.ZoneJungle) && tsorcRevampWorld.SuperHardMode && !spawnInfo.Player.ZoneDungeon && !(spawnInfo.Player.ZoneCorrupt || spawnInfo.Player.ZoneCrimson)) && (spawnInfo.Player.ZoneDirtLayerHeight) && (!(spawnInfo.Player.ZoneRockLayerHeight)) && (!(Main.bloodMoon)),NPCs/Enemies/Dworc/DworcAbysswalker.cs,113
NPC Spawn Rule,DworcAbysswalker,Dworc Abysswalker,Enemies,ModNPC,Natural spawn rules,5,—,3500,0,72,No,No,No,SpawnChance,((0.1f) * (1.5f)) * (2),SuperHardmode,Jungle + Meteor,Caverns,Day and night / unspecified,—,Unspecified,((spawnInfo.Player.ZoneMeteor || spawnInfo.Player.ZoneJungle) && tsorcRevampWorld.SuperHardMode && !spawnInfo.Player.ZoneDungeon && !(spawnInfo.Player.ZoneCorrupt || spawnInfo.Player.ZoneCrimson)) && (!(spawnInfo.Player.ZoneDirtLayerHeight)) && (spawnInfo.Player.ZoneRockLayerHeight) && (Main.bloodMoon),NPCs/Enemies/Dworc/DworcAbysswalker.cs,113
NPC Spawn Rule,DworcAbysswalker,Dworc Abysswalker,Enemies,ModNPC,Natural spawn rules,5,—,3500,0,72,No,No,No,SpawnChance,(0.1f) * (1.5f),SuperHardmode,Jungle + Meteor,Caverns,Day and night / unspecified,—,Unspecified,((spawnInfo.Player.ZoneMeteor || spawnInfo.Player.ZoneJungle) && tsorcRevampWorld.SuperHardMode && !spawnInfo.Player.ZoneDungeon && !(spawnInfo.Player.ZoneCorrupt || spawnInfo.Player.ZoneCrimson)) && (!(spawnInfo.Player.ZoneDirtLayerHeight)) && (spawnInfo.Player.ZoneRockLayerHeight) && (!(Main.bloodMoon)),NPCs/Enemies/Dworc/DworcAbysswalker.cs,113
NPC Spawn Rule,DworcAbysswalker,Dworc Abysswalker,Enemies,ModNPC,Natural spawn rules,5,—,3500,0,72,No,No,No,SpawnChance,(0.1f) * (2),SuperHardmode,Jungle + Meteor,Any / condition-defined depth,Day and night / unspecified,—,Unspecified,((spawnInfo.Player.ZoneMeteor || spawnInfo.Player.ZoneJungle) && tsorcRevampWorld.SuperHardMode && !spawnInfo.Player.ZoneDungeon && !(spawnInfo.Player.ZoneCorrupt || spawnInfo.Player.ZoneCrimson)) && (!(spawnInfo.Player.ZoneDirtLayerHeight)) && (!(spawnInfo.Player.ZoneRockLayerHeight)) && (Main.bloodMoon),NPCs/Enemies/Dworc/DworcAbysswalker.cs,113
NPC Spawn Rule,DworcAbysswalker,Dworc Abysswalker,Enemies,ModNPC,Natural spawn rules,5,—,3500,0,72,No,No,No,SpawnChance,0.1f,SuperHardmode,Jungle + Meteor,Any / condition-defined depth,Day and night / unspecified,—,Unspecified,((spawnInfo.Player.ZoneMeteor || spawnInfo.Player.ZoneJungle) && tsorcRevampWorld.SuperHardMode && !spawnInfo.Player.ZoneDungeon && !(spawnInfo.Player.ZoneCorrupt || spawnInfo.Player.ZoneCrimson)) && (!(spawnInfo.Player.ZoneDirtLayerHeight)) && (!(spawnInfo.Player.ZoneRockLayerHeight)) && (!(Main.bloodMoon)),NPCs/Enemies/Dworc/DworcAbysswalker.cs,113
NPC Spawn Rule,DworcAbysswalker,Dworc Abysswalker,Enemies,ModNPC,Natural spawn rules,5,—,3500,0,72,No,No,No,SpawnChance,(((0) * (1.3f)) * (1.5f)) * (2),Pre-Hardmode + Hardmode + SuperHardmode,General / Custom,Underground or Caverns,Day and night / unspecified,—,Unspecified,(!((spawnInfo.Player.ZoneMeteor || spawnInfo.Player.ZoneJungle) && tsorcRevampWorld.SuperHardMode && !spawnInfo.Player.ZoneDungeon && !(spawnInfo.Player.ZoneCorrupt || spawnInfo.Player.ZoneCrimson))) && (spawnInfo.Player.ZoneDirtLayerHeight) && (spawnInfo.Player.ZoneRockLayerHeight) && (Main.bloodMoon),NPCs/Enemies/Dworc/DworcAbysswalker.cs,113
NPC Spawn Rule,DworcAbysswalker,Dworc Abysswalker,Enemies,ModNPC,Natural spawn rules,5,—,3500,0,72,No,No,No,SpawnChance,((0) * (1.3f)) * (1.5f),Pre-Hardmode + Hardmode + SuperHardmode,General / Custom,Underground or Caverns,Day and night / unspecified,—,Unspecified,(!((spawnInfo.Player.ZoneMeteor || spawnInfo.Player.ZoneJungle) && tsorcRevampWorld.SuperHardMode && !spawnInfo.Player.ZoneDungeon && !(spawnInfo.Player.ZoneCorrupt || spawnInfo.Player.ZoneCrimson))) && (spawnInfo.Player.ZoneDirtLayerHeight) && (spawnInfo.Player.ZoneRockLayerHeight) && (!(Main.bloodMoon)),NPCs/Enemies/Dworc/DworcAbysswalker.cs,113
NPC Spawn Rule,DworcAbysswalker,Dworc Abysswalker,Enemies,ModNPC,Natural spawn rules,5,—,3500,0,72,No,No,No,SpawnChance,((0) * (1.3f)) * (2),Pre-Hardmode + Hardmode + SuperHardmode,General / Custom,Underground,Day and night / unspecified,—,Unspecified,(!((spawnInfo.Player.ZoneMeteor || spawnInfo.Player.ZoneJungle) && tsorcRevampWorld.SuperHardMode && !spawnInfo.Player.ZoneDungeon && !(spawnInfo.Player.ZoneCorrupt || spawnInfo.Player.ZoneCrimson))) && (spawnInfo.Player.ZoneDirtLayerHeight) && (!(spawnInfo.Player.ZoneRockLayerHeight)) && (Main.bloodMoon),NPCs/Enemies/Dworc/DworcAbysswalker.cs,113
NPC Spawn Rule,DworcAbysswalker,Dworc Abysswalker,Enemies,ModNPC,Natural spawn rules,5,—,3500,0,72,No,No,No,SpawnChance,(0) * (1.3f),Pre-Hardmode + Hardmode + SuperHardmode,General / Custom,Underground,Day and night / unspecified,—,Unspecified,(!((spawnInfo.Player.ZoneMeteor || spawnInfo.Player.ZoneJungle) && tsorcRevampWorld.SuperHardMode && !spawnInfo.Player.ZoneDungeon && !(spawnInfo.Player.ZoneCorrupt || spawnInfo.Player.ZoneCrimson))) && (spawnInfo.Player.ZoneDirtLayerHeight) && (!(spawnInfo.Player.ZoneRockLayerHeight)) && (!(Main.bloodMoon)),NPCs/Enemies/Dworc/DworcAbysswalker.cs,113
NPC Spawn Rule,DworcAbysswalker,Dworc Abysswalker,Enemies,ModNPC,Natural spawn rules,5,—,3500,0,72,No,No,No,SpawnChance,((0) * (1.5f)) * (2),Pre-Hardmode + Hardmode + SuperHardmode,General / Custom,Caverns,Day and night / unspecified,—,Unspecified,(!((spawnInfo.Player.ZoneMeteor || spawnInfo.Player.ZoneJungle) && tsorcRevampWorld.SuperHardMode && !spawnInfo.Player.ZoneDungeon && !(spawnInfo.Player.ZoneCorrupt || spawnInfo.Player.ZoneCrimson))) && (!(spawnInfo.Player.ZoneDirtLayerHeight)) && (spawnInfo.Player.ZoneRockLayerHeight) && (Main.bloodMoon),NPCs/Enemies/Dworc/DworcAbysswalker.cs,113
NPC Spawn Rule,DworcAbysswalker,Dworc Abysswalker,Enemies,ModNPC,Natural spawn rules,5,—,3500,0,72,No,No,No,SpawnChance,(0) * (1.5f),Pre-Hardmode + Hardmode + SuperHardmode,General / Custom,Caverns,Day and night / unspecified,—,Unspecified,(!((spawnInfo.Player.ZoneMeteor || spawnInfo.Player.ZoneJungle) && tsorcRevampWorld.SuperHardMode && !spawnInfo.Player.ZoneDungeon && !(spawnInfo.Player.ZoneCorrupt || spawnInfo.Player.ZoneCrimson))) && (!(spawnInfo.Player.ZoneDirtLayerHeight)) && (spawnInfo.Player.ZoneRockLayerHeight) && (!(Main.bloodMoon)),NPCs/Enemies/Dworc/DworcAbysswalker.cs,113
NPC Spawn Rule,DworcAbysswalker,Dworc Abysswalker,Enemies,ModNPC,Natural spawn rules,5,—,3500,0,72,No,No,No,SpawnChance,(0) * (2),Pre-Hardmode + Hardmode + SuperHardmode,General / Custom,Any / condition-defined depth,Day and night / unspecified,—,Unspecified,(!((spawnInfo.Player.ZoneMeteor || spawnInfo.Player.ZoneJungle) && tsorcRevampWorld.SuperHardMode && !spawnInfo.Player.ZoneDungeon && !(spawnInfo.Player.ZoneCorrupt || spawnInfo.Player.ZoneCrimson))) && (!(spawnInfo.Player.ZoneDirtLayerHeight)) && (!(spawnInfo.Player.ZoneRockLayerHeight)) && (Main.bloodMoon),NPCs/Enemies/Dworc/DworcAbysswalker.cs,113
NPC Spawn Rule,DworcAbysswalker,Dworc Abysswalker,Enemies,ModNPC,Natural spawn rules,5,—,3500,0,72,No,No,No,SpawnChance,0,Pre-Hardmode + Hardmode + SuperHardmode,General / Custom,Any / condition-defined depth,Day and night / unspecified,—,Unspecified,(!((spawnInfo.Player.ZoneMeteor || spawnInfo.Player.ZoneJungle) && tsorcRevampWorld.SuperHardMode && !spawnInfo.Player.ZoneDungeon && !(spawnInfo.Player.ZoneCorrupt || spawnInfo.Player.ZoneCrimson))) && (!(spawnInfo.Player.ZoneDirtLayerHeight)) && (!(spawnInfo.Player.ZoneRockLayerHeight)) && (!(Main.bloodMoon)),NPCs/Enemies/Dworc/DworcAbysswalker.cs,113
NPC Spawn Rule,DworcAlchemist,Dworc Alchemist,Enemies,ModNPC,Natural spawn rules,3,—,500,42,14,No,No,No,SpawnChance,0f,Pre-Hardmode + Hardmode + SuperHardmode,General / Custom,Any / condition-defined depth,Day and night / unspecified,—,Required,(spawnInfo.Water),NPCs/Enemies/Dworc/DworcAlchemist.cs,127
NPC Spawn Rule,DworcAlchemist,Dworc Alchemist,Enemies,ModNPC,Natural spawn rules,3,—,500,42,14,No,No,No,SpawnChance,0.004f,Pre-Hardmode + Hardmode + SuperHardmode,Jungle + Meteor,Surface,Day and night / unspecified,—,Excluded,(!(spawnInfo.Water)) && ((spawnInfo.Player.ZoneMeteor || spawnInfo.Player.ZoneJungle) && !spawnInfo.Player.ZoneDungeon && !spawnInfo.Player.ZoneCorrupt && !spawnInfo.Player.ZoneCrimson) && (spawnInfo.Player.ZoneOverworldHeight),NPCs/Enemies/Dworc/DworcAlchemist.cs,131
NPC Spawn Rule,DworcAlchemist,Dworc Alchemist,Enemies,ModNPC,Natural spawn rules,3,—,500,42,14,No,No,No,SpawnChance,0.008f,Pre-Hardmode + Hardmode + SuperHardmode,Jungle + Meteor,Underground,Day and night / unspecified,—,Excluded,(!(spawnInfo.Water)) && ((spawnInfo.Player.ZoneMeteor || spawnInfo.Player.ZoneJungle) && !spawnInfo.Player.ZoneDungeon && !spawnInfo.Player.ZoneCorrupt && !spawnInfo.Player.ZoneCrimson) && (!(spawnInfo.Player.ZoneOverworldHeight)) && (spawnInfo.Player.ZoneDirtLayerHeight),NPCs/Enemies/Dworc/DworcAlchemist.cs,132
